genes,logFC,logCPM,PValue,FDR,,,,,,
YALI1_F29652g,-0.019250509,6.875578093,0.696912665,0.774289158,,,,,,
YALI1_C17307g,-0.098258357,0.328893637,0.697240812,0.774485759,,,,,,
YALI1_B01892g,0.047734581,3.377246992,0.697388563,0.774485759,,,,,,
YALI1_E22329g,0.030056963,5.686080333,0.697404238,0.774485759,,,,,,
YALI1_A18470g,-0.031600087,4.285497298,0.697576928,0.774561061,,,,,,
YALI1_C17820g,0.020377964,7.114495792,0.698139932,0.775069663,,,,,,
YALI1_C28147g,0.024949015,5.694873371,0.69833608,0.775170893,,,,,,
YALI1_B00429g,-0.132109344,0.485329382,0.698790008,0.775558192,,,,,,
YALI1_F11916g,-0.04254421,2.854831975,0.699169416,0.77586268,,,,,,
YALI1_D21385g,0.02224859,6.733367263,0.699424948,0.776029634,,,,,,
YALI1_C15611g,0.106010721,0.647950141,0.699563677,0.77606696,,,,,,
YALI1_D03488g,-0.033045874,6.383615456,0.701410044,0.777984395,,,,,,
YALI1_B20730g,-0.018588861,7.26467869,0.701502788,0.777984395,,,,,,
YALI1_A04178g,-0.021458843,6.030821902,0.701847303,0.778155442,,,,,,
YALI1_D27844g,-0.026903914,5.21632776,0.701929832,0.778155442,,,,,,
YALI1_C32706g,-0.028193594,4.457590295,0.701973128,0.778155442,,,,,,
YALI1_D04533g,0.01818964,7.381834558,0.702328192,0.778432192,,,,,,
YALI1_A05662g,0.191159723,0.85915098,0.702806111,0.778845008,,,,,,
YALI1_B26749g,0.021333589,6.180830459,0.70294034,0.778876881,,,,,,
YALI1_A06625g,-0.066411168,1.134647192,0.704596741,0.780595099,,,,,,
YALI1_A00829g,-0.027093406,5.743020894,0.706509592,0.78259687,,,,,,
YALI1_E39057g,-0.027929017,7.289836655,0.706690151,0.782679479,,,,,,
YALI1_C21272g,-0.121107981,0.089618748,0.707619881,0.783591666,,,,,,
YALI1_D19174g,0.104531982,0.160098415,0.708030024,0.783928295,,,,,,
YALI1_F39051g,-0.016913505,8.258425192,0.708469741,0.784297562,,,,,,
YALI1_C03848g,-0.046528756,2.474000621,0.708901213,0.784408355,,,,,,
YALI1_B01578g,0.030703239,5.423633253,0.708909998,0.784408355,,,,,,
YALI1_A10318g,-0.016441514,10.44702729,0.709001515,0.784408355,,,,,,
YALI1_F02309g,-0.023020021,8.828035113,0.709138041,0.784408355,,,,,,
YALI1_C25301g,-0.018164179,6.628910213,0.709176528,0.784408355,,,,,,
YALI1_A18675g,0.095159613,0.83891173,0.709209995,0.784408355,,,,,,
YALI1_D20359g,0.017592911,6.614561061,0.709313338,0.784408355,,,,,,
YALI1_F12013g,0.028193578,8.222778231,0.710139538,0.785204445,,,,,,
YALI1_F27701g,0.051048413,1.931734707,0.711252394,0.786317205,,,,,,
YALI1_B18798g,-0.023275524,7.088556127,0.711983217,0.787007343,,,,,,
YALI1_C13578g,-0.062990881,3.015760508,0.712185225,0.787112824,,,,,,
YALI1_D29523g,0.029634215,4.493068994,0.713502124,0.788450274,,,,,,
YALI1_D29994g,0.020012955,6.684450553,0.714177026,0.789077998,,,,,,
YALI1_E39886g,0.021376731,7.825872809,0.714351158,0.789152326,,,,,,
YALI1_A17546g,-0.042890704,3.343953437,0.715342482,0.79012926,,,,,,
YALI1_E16694g,0.02380902,5.411720562,0.715766156,0.790478998,,,,,,
YALI1_E00412g,0.022030007,4.998030811,0.716090764,0.790719242,,,,,,
YALI1_E18171g,-0.016426711,7.960911361,0.717338365,0.791978447,,,,,,
YALI1_C31243g,-0.036590368,6.776072303,0.717495355,0.792033363,,,,,,
YALI1_D09103g,-0.021341735,8.031452661,0.717926848,0.792363553,,,,,,
YALI1_F01324g,0.073783004,0.728233889,0.718091875,0.792363553,,,,,,
YALI1_C16420g,0.103720347,0.259741098,0.718196839,0.792363553,,,,,,
YALI1_A11231g,0.026091153,4.494729943,0.718223646,0.792363553,,,,,,
YALI1_F26216g,-0.021298728,6.896300147,0.719146218,0.793262855,,,,,,
YALI1_C08834g,0.017818097,7.927799996,0.719434413,0.793278009,,,,,,
YALI1_C28716g,0.018729485,6.715912795,0.719487985,0.793278009,,,,,,
YALI1_D11810g,-0.031477825,4.596298385,0.71953677,0.793278009,,,,,,
YALI1_D35356g,0.020711133,7.417691055,0.719589626,0.793278009,,,,,,
YALI1_B18265g,0.023358465,5.428518121,0.719825191,0.793419259,,,,,,
YALI1_D05538g,-0.017409217,7.165148577,0.720197545,0.793625505,,,,,,
YALI1_D11442g,-0.0180089,7.63410017,0.720227236,0.793625505,,,,,,
YALI1_C23511g,0.018296013,6.305358024,0.72033975,0.793631069,,,,,,
YALI1_C25782g,0.023198039,6.556428751,0.720553904,0.793748595,,,,,,
YALI1_D05320g,0.017005021,8.071732204,0.721079322,0.79410023,,,,,,
YALI1_E23498g,-0.048723811,2.192628325,0.721088171,0.79410023,,,,,,
YALI1_D36182g,-0.037840696,3.831768354,0.721309963,0.794226043,,,,,,
YALI1_F16431g,0.068409037,2.221360558,0.721637343,0.794455298,,,,,,
YALI1_A12445g,0.050754198,3.017863243,0.721733324,0.794455298,,,,,,
YALI1_F20145g,0.046593988,3.173563619,0.722027092,0.794660219,,,,,,
YALI1_C18590g,-0.021974284,5.391352211,0.722150494,0.794677604,,,,,,
YALI1_B22667g,-0.017455452,5.780570527,0.722807613,0.795282214,,,,,,
YALI1_A16075g,-0.074166034,1.924024986,0.723148473,0.795538727,,,,,,
YALI1_E07099g,-0.022605274,8.284687495,0.723450612,0.795682969,,,,,,
YALI1_F37986g,-0.020270014,6.002278002,0.723582314,0.795682969,,,,,,
YALI1_F11186g,-0.028346089,4.368660177,0.723602819,0.795682969,,,,,,
YALI1_C01694g,-0.046179385,2.567915891,0.725208519,0.797329897,,,,,,
YALI1_C28706g,-0.01646478,7.377632398,0.725552761,0.797589631,,,,,,
YALI1_E01614g,-0.017081576,6.660990731,0.72609029,0.798061735,,,,,,
YALI1_D15902g,0.021802431,4.992933632,0.726478802,0.798369933,,,,,,
YALI1_A01842g,-0.026010577,4.760986954,0.726671119,0.798462463,,,,,,
YALI1_E17037g,-0.019104589,7.69701986,0.728114045,0.799905524,,,,,,
YALI1_E26860g,-0.02622777,6.30242817,0.728201062,0.799905524,,,,,,
YALI1_D05736g,0.125459117,0.352832121,0.728731007,0.800330285,,,,,,
YALI1_E13963g,0.027328721,4.814666529,0.728804491,0.800330285,,,,,,
YALI1_B07843g,-0.016580971,6.294073599,0.729248687,0.800627097,,,,,,
YALI1_E12223g,-0.027595226,4.839630194,0.729291602,0.800627097,,,,,,
YALI1_F36233g,-0.023083364,8.367837371,0.730513452,0.801849264,,,,,,
YALI1_C17609g,0.021233912,5.019245704,0.73068911,0.801922883,,,,,,
YALI1_B02472g,-0.027096647,4.518885384,0.731066498,0.802217843,,,,,,
YALI1_B02487g,-0.019090204,8.138096226,0.731884905,0.802996587,,,,,,
YALI1_E40915g,-0.08945172,-0.079126288,0.732667338,0.803735635,,,,,,
YALI1_E23578g,0.021620327,7.034935838,0.732777489,0.80373708,,,,,,
YALI1_D14097g,0.015737076,6.619552519,0.733967979,0.804923303,,,,,,
YALI1_A06591g,0.018701621,6.955470748,0.734088685,0.804936145,,,,,,
YALI1_D34739g,-0.018320968,7.517009545,0.734491709,0.805258502,,,,,,
YALI1_E12730g,-0.016154834,8.50480432,0.735325793,0.806053285,,,,,,
YALI1_E12454g,0.024213216,5.528210568,0.735440917,0.806059836,,,,,,
YALI1_E29827g,-0.025315928,6.019463777,0.73572642,0.806253096,,,,,,
YALI1_F32554g,0.038555885,3.542864453,0.735955418,0.806384386,,,,,,
YALI1_A01230g,-0.054808027,1.212568367,0.736168247,0.806497923,,,,,,
YALI1_E22807g,-0.140257638,-0.522568568,0.736420875,0.806655023,,,,,,
YALI1_F31725g,-0.01803907,5.877899941,0.736542418,0.806668509,,,,,,
YALI1_E23302g,-0.026797865,4.70923269,0.736959089,0.80700517,,,,,,
YALI1_D17011g,0.043521398,2.508285156,0.737134734,0.807077837,,,,,,
YALI1_C28621g,-0.020500897,7.701012966,0.737337221,0.807179866,,,,,,
YALI1_C21578g,0.161300329,0.820167049,0.73820175,0.80800651,,,,,,
YALI1_E13818g,0.018517827,5.190521463,0.738641896,0.808368465,,,,,,
YALI1_D19562g,-0.036467592,3.67441093,0.738854735,0.808481585,,,,,,
YALI1_E11341g,-0.017256391,6.804349167,0.739532792,0.809042103,,,,,,
YALI1_A05229g,0.030284214,4.162900973,0.739586085,0.809042103,,,,,,
YALI1_A18719g,0.042529592,2.299107207,0.741120391,0.810600427,,,,,,
YALI1_D15398g,-0.019762894,6.043443537,0.741432833,0.810822075,,,,,,
YALI1_D17249g,0.018780135,7.062970676,0.741925678,0.811240914,,,,,,
YALI1_E19172g,-0.019874,10.18460778,0.74271312,0.811981701,,,,,,
YALI1_E27610g,-0.078728947,0.524110853,0.743677974,0.812916198,,,,,,
YALI1_B13723g,0.067264342,1.443507802,0.743895867,0.813034035,,,,,,
YALI1_A08483r,-0.071534956,0.668828254,0.744246603,0.813297006,,,,,,
YALI1_D21044g,-0.015040689,6.26230521,0.744936284,0.813930235,,,,,,
YALI1_C24183g,-0.06708,1.321036705,0.745674391,0.814580598,,,,,,
YALI1_A19885g,0.020109698,6.05934834,0.745752122,0.814580598,,,,,,
YALI1_C03197g,-0.038812093,3.750882171,0.745904982,0.814627077,,,,,,
YALI1_C05252g,-0.02657257,4.396375896,0.746372158,0.815016766,,,,,,
YALI1_F03389g,-0.019865442,7.106856762,0.746714043,0.815269545,,,,,,
YALI1_D12858g,0.019560561,5.487324337,0.747620438,0.816138497,,,,,,
YALI1_E35831g,-0.077834159,1.014980726,0.74777979,0.816191805,,,,,,
YALI1_F37194g,-0.021150191,6.031975867,0.74818991,0.816367594,,,,,,
YALI1_B14948g,-0.11837537,-0.374944237,0.748348562,0.816367594,,,,,,
YALI1_E38131g,0.018448484,7.915768437,0.748375298,0.816367594,,,,,,
YALI1_B16705g,-0.036284467,5.884205085,0.748383021,0.816367594,,,,,,
YALI1_A18622g,0.021722838,6.45107733,0.749142813,0.817075716,,,,,,
YALI1_B11415g,0.062960669,0.797978157,0.750002784,0.817892877,,,,,,
YALI1_D15622g,0.015842428,7.739397238,0.750392241,0.818196766,,,,,,
YALI1_B04853g,0.01770599,8.567556895,0.750570798,0.818270644,,,,,,
YALI1_E15991g,0.016159055,7.55733255,0.750774941,0.818329088,,,,,,
YALI1_E17014g,-0.016684764,6.393224054,0.750846026,0.818329088,,,,,,
YALI1_A22228g,-0.014790852,6.759811759,0.751046609,0.818426916,,,,,,
YALI1_D27044g,-0.016705883,5.95457666,0.751655501,0.818969589,,,,,,
YALI1_F25671g,-0.015892981,5.570923159,0.752006484,0.819217324,,,,,,
YALI1_B26963g,-0.039922765,2.633442263,0.752104734,0.819217324,,,,,,
YALI1_F15377g,-0.068542178,0.9954705,0.752282633,0.819232018,,,,,,
YALI1_E08512g,-0.063441677,1.188957038,0.752340087,0.819232018,,,,,,
YALI1_C07117g,0.019072245,4.982822902,0.75250464,0.819290397,,,,,,
YALI1_B07769g,0.019815972,5.472198342,0.753306944,0.82004301,,,,,,
YALI1_D12198g,-0.014504787,6.669475712,0.75472222,0.821341253,,,,,,
YALI1_C30946g,0.015867519,6.782913524,0.75482596,0.821341253,,,,,,
YALI1_F07135g,0.038080549,3.30708222,0.754833187,0.821341253,,,,,,
YALI1_C21639g,0.014216128,6.734320842,0.755304674,0.821733209,,,,,,
YALI1_D28999g,0.014600333,6.809009611,0.755774452,0.822123189,,,,,,
YALI1_D13790g,-0.018904646,5.180752925,0.756320713,0.82259624,,,,,,
YALI1_F05876g,-0.118045466,0.125563818,0.758866241,0.825203865,,,,,,
YALI1_B14924g,0.018246396,8.019968597,0.758941727,0.825203865,,,,,,
YALI1_A15185g,0.043864101,2.562720983,0.759998597,0.826231362,,,,,,
YALI1_A16303g,-0.04415599,2.01395193,0.761557114,0.82780384,,,,,,
YALI1_D10129g,0.021534421,3.994017044,0.762116798,0.828290295,,,,,,
YALI1_F36794g,0.018004238,5.64534102,0.762920599,0.829041881,,,,,,
YALI1_F03197g,-0.055213505,0.769976178,0.763807073,0.829786787,,,,,,
YALI1_F19090g,-0.014053517,9.47156452,0.763897441,0.829786787,,,,,,
YALI1_E37026g,0.013417272,6.919561857,0.763943177,0.829786787,,,,,,
YALI1_E19371g,-0.014769281,6.165421358,0.764853098,0.83065296,,,,,,
YALI1_D26934g,0.042328546,2.200815126,0.765255326,0.83096759,,,,,,
YALI1_E18242g,-0.015511581,6.457393593,0.765501049,0.831086878,,,,,,
YALI1_E40718g,0.014533547,6.811473973,0.765633517,0.831086878,,,,,,
YALI1_D24580g,0.020350562,5.43741831,0.765702791,0.831086878,,,,,,
YALI1_A21617g,0.018302288,6.567719511,0.765822964,0.831095164,,,,,,
YALI1_E08937g,0.027888555,4.447890157,0.766385569,0.831583518,,,,,,
YALI1_E39439g,0.02248219,4.596723782,0.766842701,0.831891194,,,,,,
YALI1_B14793g,-0.013813461,6.255426597,0.766894414,0.831891194,,,,,,
YALI1_C10480g,0.022452898,5.00670417,0.767166369,0.832038563,,,,,,
YALI1_F30559g,0.01416888,5.817670321,0.767255601,0.832038563,,,,,,
YALI1_F33714g,0.087529317,1.025147428,0.767607779,0.83229826,,,,,,
YALI1_F26058g,0.017520974,6.065785647,0.767829302,0.832416236,,,,,,
YALI1_C04351g,0.020592646,5.52273485,0.768198902,0.832694685,,,,,,
YALI1_D29237g,-0.013683274,6.632620318,0.768445569,0.832839819,,,,,,
YALI1_F23484g,0.016025327,6.631732377,0.769881615,0.83420907,,,,,,
YALI1_E06355g,-0.014310975,6.701069113,0.769991007,0.83420907,,,,,,
YALI1_E21417g,-0.026892625,3.875188716,0.770047831,0.83420907,,,,,,
YALI1_E19563g,-0.078867085,0.464571723,0.770705879,0.834799489,,,,,,
YALI1_E03941g,-0.013184471,6.840804636,0.772456559,0.836573058,,,,,,
YALI1_E18895g,-0.016690255,5.794874202,0.773182789,0.837146521,,,,,,
YALI1_A15784g,-0.026335538,5.398090428,0.773212786,0.837146521,,,,,,
YALI1_E40161g,0.020253069,5.699152677,0.773538361,0.837376252,,,,,,
YALI1_A13224g,-0.058335818,1.938192877,0.773921915,0.837668671,,,,,,
YALI1_E33570g,0.016448745,7.793619957,0.774112421,0.837677513,,,,,,
YALI1_C06973g,0.013053238,6.975268981,0.774156943,0.837677513,,,,,,
YALI1_C17295g,-0.064458522,1.139921503,0.774712646,0.838106565,,,,,,
YALI1_B05420g,-0.014341989,6.895252379,0.774846169,0.838106565,,,,,,
YALI1_C11057g,0.028851855,3.879510072,0.774893924,0.838106565,,,,,,
YALI1_A15349g,0.016218818,7.0611089,0.775144335,0.838254637,,,,,,
YALI1_C13768g,-0.048853766,1.616376238,0.775360529,0.838365667,,,,,,
YALI1_E40785g,-0.017892399,5.538983734,0.775685048,0.838593775,,,,,,
YALI1_F25987g,-0.034080607,3.832451085,0.776713842,0.839524561,,,,,,
YALI1_F10150g,-0.016166349,7.710624733,0.776773369,0.839524561,,,,,,
YALI1_D08693g,-0.084918945,1.203160977,0.777224434,0.839889149,,,,,,
YALI1_A21746g,0.015564001,7.263022971,0.777758981,0.840310044,,,,,,
YALI1_A13994g,0.022504488,4.083677421,0.777841497,0.840310044,,,,,,
YALI1_C29365g,-0.03682146,4.23041329,0.778229055,0.840605758,,,,,,
YALI1_A06104g,0.047436871,1.617998594,0.778446348,0.840717502,,,,,,
YALI1_D25606g,0.018120664,5.40772772,0.77865397,0.84081877,,,,,,
YALI1_C21603g,-0.014351508,5.950817254,0.778790804,0.84084358,,,,,,
YALI1_B02874g,-0.016088714,6.285399786,0.778951957,0.840894636,,,,,,
YALI1_C15412g,0.032189782,2.690770606,0.779809797,0.84169609,,,,,,
YALI1_B11448g,0.138617749,-0.37046782,0.779922321,0.84169609,,,,,,
YALI1_A04781g,0.05360437,1.04166198,0.780054612,0.841715855,,,,,,
YALI1_F15859g,-0.018573193,5.260877026,0.780361768,0.841924274,,,,,,
YALI1_C26276g,0.017284527,7.232001066,0.781284854,0.842787053,,,,,,
YALI1_A09121g,0.019237537,4.973502291,0.781389702,0.842787053,,,,,,
YALI1_D21986g,-0.022900096,6.45367978,0.781659096,0.842846033,,,,,,
YALI1_B15887g,0.023678256,4.150778457,0.781746744,0.842846033,,,,,,
YALI1_E19620g,0.033364532,2.637731048,0.781786774,0.842846033,,,,,,
YALI1_D20885g,-0.020907686,4.884365201,0.782349892,0.843330018,,,,,,
YALI1_F16702g,0.017583261,5.355660033,0.782470169,0.843336573,,,,,,
YALI1_C14169g,0.011011447,6.663779171,0.782716889,0.843479385,,,,,,
YALI1_C25576g,0.011458786,6.13030114,0.782976172,0.843635692,,,,,,
YALI1_F15533g,-0.01241263,6.265979454,0.783525215,0.844077387,,,,,,
YALI1_B23554g,0.067636313,0.69429412,0.783614701,0.844077387,,,,,,
YALI1_E07874g,0.032200516,3.304705642,0.784434075,0.844836757,,,,,,
YALI1_A03803g,-0.012183505,6.750645576,0.784902797,0.845217766,,,,,,
YALI1_C00874g,0.148717076,-0.579623373,0.785127069,0.845217766,,,,,,
YALI1_B04123g,-0.018518514,7.393850527,0.785131195,0.845217766,,,,,,
YALI1_D06043g,0.015093061,5.978548239,0.786493261,0.846470803,,,,,,
YALI1_F01275g,-0.020630055,4.450186156,0.786568539,0.846470803,,,,,,
YALI1_E22439g,0.02542812,4.606531131,0.786639014,0.846470803,,,,,,
YALI1_F13339g,0.01280262,8.336897758,0.787966063,0.847775259,,,,,,
YALI1_E39796g,0.013736962,11.1898791,0.789121749,0.848708895,,,,,,
YALI1_D09923g,0.046778225,2.020766472,0.789126483,0.848708895,,,,,,
YALI1_C11773g,0.046826295,1.50440147,0.789178603,0.848708895,,,,,,
YALI1_F09671g,-0.068184765,0.588851648,0.789543973,0.848978195,,,,,,
YALI1_B14882g,-0.012886805,6.225351793,0.79113654,0.8505668,,,,,,
YALI1_A01717g,0.012963039,6.386826724,0.791460799,0.850676328,,,,,,
YALI1_B22372g,-0.022150384,4.51808939,0.791468795,0.850676328,,,,,,
YALI1_A19989g,0.015609134,7.006816016,0.792121902,0.851254401,,,,,,
YALI1_B25734g,-0.014021052,6.493066521,0.792555884,0.851596858,,,,,,
YALI1_B23771g,0.033165904,7.498821501,0.792775003,0.851708379,,,,,,
YALI1_D02362g,0.01184148,7.123370071,0.793555284,0.852422658,,,,,,
YALI1_B20094g,-0.014969785,5.733696592,0.794356861,0.853154601,,,,,,
YALI1_F17082g,-0.014240023,7.665286092,0.794511942,0.853154601,,,,,,
YALI1_E07506g,-0.015509922,6.279447522,0.794583256,0.853154601,,,,,,
YALI1_F32744g,-0.020294614,5.816309675,0.794950296,0.853396733,,,,,,
YALI1_E34826g,-0.020411877,4.184768455,0.795109136,0.853396733,,,,,,
YALI1_B06613g,0.079127638,0.250342704,0.79515544,0.853396733,,,,,,
YALI1_D35966g,-0.010968411,6.141110549,0.795282133,0.853408682,,,,,,
YALI1_E18095g,0.019774068,4.001386097,0.796180112,0.854248166,,,,,,
YALI1_E39385g,-0.012648983,8.276327418,0.796407367,0.854367868,,,,,,
YALI1_D01345g,-0.021129122,5.733116506,0.797033006,0.854914851,,,,,,
YALI1_F15108g,-0.017052748,5.796266686,0.797428804,0.855215178,,,,,,
YALI1_E40327g,-0.014815516,5.865380743,0.797671769,0.855351534,,,,,,
YALI1_C03495g,-0.013787821,5.595108706,0.797900172,0.855472238,,,,,,
YALI1_B24672g,-0.031863424,3.220927107,0.798318434,0.855796434,,,,,,
YALI1_C30130g,-0.012142212,8.549471942,0.798726088,0.856109167,,,,,,
YALI1_F10839g,-0.018867996,7.364653183,0.799601274,0.856892616,,,,,,
YALI1_D35143g,0.018970037,5.167390423,0.799689087,0.856892616,,,,,,
YALI1_F38317g,0.013987059,5.873906348,0.800062702,0.857168585,,,,,,
YALI1_A07766g,0.037115108,2.103608807,0.800460939,0.85747085,,,,,,
YALI1_A07977g,-0.013611662,7.555672683,0.801009382,0.857933906,,,,,,
YALI1_B18764g,0.01809478,4.512046319,0.801279761,0.858019296,,,,,,
YALI1_F20943g,-0.019848098,4.806629656,0.801321474,0.858019296,,,,,,
YALI1_B02550g,-0.01157075,7.893578482,0.801854542,0.85836592,,,,,,
YALI1_B03719g,0.012924871,6.936929302,0.801877655,0.85836592,,,,,,
YALI1_E41498g,-0.08088625,0.263543804,0.801998418,0.85837077,,,,,,
YALI1_C03874g,-0.013106194,7.546448227,0.8029447,0.859259037,,,,,,
YALI1_E28107g,0.015994992,6.54415232,0.80352316,0.859753482,,,,,,
YALI1_E23691g,-0.011798958,8.130578481,0.803847961,0.859976415,,,,,,
YALI1_D08460g,-0.020023198,4.23050196,0.804352903,0.860391974,,,,,,
YALI1_E39128g,0.033794128,8.791330712,0.804552635,0.860480987,,,,,,
YALI1_E07153g,-0.011262259,8.378825089,0.806200775,0.862118842,,,,,,
YALI1_E24812g,-0.031891857,3.84622351,0.806367159,0.862171923,,,,,,
YALI1_F39550g,0.01445573,5.924608319,0.807154968,0.862889322,,,,,,
YALI1_B10757g,0.054619007,0.814907221,0.807925266,0.863534163,,,,,,
YALI1_F18239g,0.017908965,4.476286704,0.80799202,0.863534163,,,,,,
YALI1_A04398r,-0.056039444,0.688102982,0.80882454,0.864298832,,,,,,
YALI1_A20739g,0.011385987,8.492070973,0.809054139,0.8644191,,,,,,
YALI1_B27009g,0.014025141,5.890958385,0.809360881,0.864621743,,,,,,
YALI1_B06015g,-0.019911018,4.125276786,0.810129936,0.865226292,,,,,,
YALI1_E36098g,-0.020337883,5.179988327,0.810161112,0.865226292,,,,,,
YALI1_D03216g,0.023902284,3.539580622,0.810290827,0.865239699,,,,,,
YALI1_F18226g,-0.029302519,2.757716408,0.810766309,0.865596382,,,,,,
YALI1_F02378g,-0.022724765,7.257841204,0.810859278,0.865596382,,,,,,
YALI1_D33941g,0.017942339,4.932552191,0.811296203,0.865937629,,,,,,
YALI1_D24718g,0.014066298,6.509734161,0.811950584,0.866465657,,,,,,
YALI1_F30641g,0.012613246,6.225187672,0.812025567,0.866465657,,,,,,
YALI1_C16283g,-0.041809212,2.611767859,0.812164822,0.866489051,,,,,,
YALI1_B07162g,0.012874736,7.243762388,0.812302779,0.866511053,,,,,,
YALI1_A09325g,0.0575611,6.626380628,0.812955482,0.867082067,,,,,,
YALI1_B15592g,0.026012635,3.215890093,0.813083247,0.867093109,,,,,,
YALI1_C28963g,-0.015288681,5.683471502,0.813486322,0.867397703,,,,,,
YALI1_D09168g,-0.012703922,7.088216082,0.814181847,0.868013995,,,,,,
YALI1_A00683g,0.035427619,1.731463317,0.814389223,0.868109759,,,,,,
YALI1_D25856g,-0.062066821,0.861115405,0.815483487,0.869150751,,,,,,
YALI1_D26186g,-0.015083677,6.384804573,0.816835966,0.87046661,,,,,,
YALI1_F05403g,0.029030144,2.621775213,0.817161971,0.870688379,,,,,,
YALI1_F03803g,0.015736557,10.26614455,0.81756487,0.870992003,,,,,,
YALI1_A14141g,0.046667608,1.711556014,0.817955393,0.871282356,,,,,,
YALI1_A01093g,0.019120599,4.9168924,0.818805822,0.872062445,,,,,,
YALI1_A19650g,0.013334584,5.244060888,0.818982445,0.872089473,,,,,,
YALI1_D05111g,0.067758339,2.271416674,0.819067378,0.872089473,,,,,,
YALI1_C25336g,-0.012312058,6.863869962,0.82013485,0.873100168,,,,,,
YALI1_D06302g,0.011505591,8.193973061,0.820667614,0.873541414,,,,,,
YALI1_F15218g,0.012174419,7.111921855,0.821804196,0.874625161,,,,,,
YALI1_C14183g,-0.068672522,-0.223868284,0.822162832,0.874874331,,,,,,
YALI1_A13397g,0.032673245,2.85892402,0.822281558,0.874874331,,,,,,
YALI1_F06830g,0.009996831,8.177405384,0.822399355,0.874874331,,,,,,
YALI1_E40442g,0.016753947,5.169802584,0.822512184,0.874874331,,,,,,
YALI1_B08721g,0.016545623,5.165291242,0.82290074,0.875161573,,,,,,
YALI1_B27534g,0.012237821,8.068432666,0.823870234,0.875952736,,,,,,
YALI1_B18368g,-0.019470761,4.239765486,0.823881883,0.875952736,,,,,,
YALI1_D02348g,0.020530306,3.453456312,0.824179693,0.876143232,,,,,,
YALI1_B04947g,0.02731278,2.490403425,0.824307659,0.876153147,,,,,,
YALI1_E05866g,-0.015046083,5.730810194,0.824629305,0.87636889,,,,,,
YALI1_D18274g,0.015016216,5.954826715,0.824951472,0.876523592,,,,,,
YALI1_C12038g,-0.028906787,2.959363293,0.825012253,0.876523592,,,,,,
YALI1_F35822g,-0.018933814,4.041999557,0.825503552,0.876919409,,,,,,
YALI1_F08745g,-0.01139213,6.707731951,0.826087288,0.877413292,,,,,,
YALI1_F39176g,0.014930059,6.073904731,0.826713424,0.877912829,,,,,,
YALI1_A03763g,0.020970493,3.6064459,0.826838872,0.877912829,,,,,,
YALI1_E25812g,0.010862572,6.493000884,0.826923939,0.877912829,,,,,,
YALI1_C05756g,0.048282079,1.511081113,0.827074412,0.877912829,,,,,,
YALI1_C11521g,0.047350094,2.536652349,0.827151993,0.877912829,,,,,,
YALI1_D14453g,0.016070398,4.116996654,0.82754338,0.87820202,,,,,,
YALI1_A10072g,0.11044456,0.82310629,0.82837964,0.878963167,,,,,,
YALI1_D26030g,0.093514927,0.460699804,0.828630812,0.879103368,,,,,,
YALI1_C23548g,-0.013319202,5.678323132,0.830259618,0.880704867,,,,,,
YALI1_A07137g,-0.024763172,4.279417888,0.830630741,0.880971998,,,,,,
YALI1_B06141g,0.039349512,2.16486263,0.831610689,0.881884684,,,,,,
YALI1_C16378g,0.009500291,8.766117672,0.832119514,0.882297575,,,,,,
YALI1_A19549g,-0.017072303,4.981198803,0.832487757,0.88256131,,,,,,
YALI1_A17927g,-0.010582047,6.707532845,0.833349071,0.883347623,,,,,,
YALI1_B23729g,0.073903849,0.096878784,0.833951532,0.883859366,,,,,,
YALI1_D06380g,0.010760311,7.315371251,0.834301267,0.884103151,,,,,,
YALI1_A08468g,0.015516824,4.614479203,0.834467171,0.884152088,,,,,,
YALI1_E02239g,-0.00999946,6.704985154,0.835024657,0.884606006,,,,,,
YALI1_D03718g,-0.011369072,6.363457409,0.83524339,0.884606006,,,,,,
YALI1_C09380g,0.010018972,7.178736605,0.835254933,0.884606006,,,,,,
YALI1_D22313g,0.009928777,6.766745715,0.835640358,0.884887302,,,,,,
YALI1_B23351g,-0.013992966,5.691127496,0.836487348,0.885597429,,,,,,
YALI1_D01581g,-0.264751193,3.334679799,0.836550801,0.885597429,,,,,,
YALI1_F34264g,0.014304699,5.203575889,0.836805417,0.885740004,,,,,,
YALI1_E32754g,0.010108533,6.177088572,0.837049393,0.885871276,,,,,,
YALI1_A16461g,0.015510949,4.716473833,0.837387046,0.886101639,,,,,,
YALI1_C33071g,-0.019769651,4.370631577,0.837591506,0.886191013,,,,,,
YALI1_C20329g,0.021873259,3.33000002,0.8382876,0.886613658,,,,,,
YALI1_E13082g,-0.01336134,5.292552691,0.838340375,0.886613658,,,,,,
YALI1_F18947g,0.032104756,1.942804254,0.838351141,0.886613658,,,,,,
YALI1_F37929g,0.012592843,6.005705883,0.83961298,0.887820999,,,,,,
YALI1_F38522g,-0.012656278,7.090705998,0.840208592,0.888270097,,,,,,
YALI1_C19395g,-0.023343611,3.968412193,0.840278253,0.888270097,,,,,,
YALI1_D35945g,0.010099892,7.676419157,0.840542554,0.888422321,,,,,,
YALI1_E14469g,-0.017894835,6.019338047,0.841046272,0.888750736,,,,,,
YALI1_A03815g,0.01699932,4.918050271,0.84109396,0.888750736,,,,,,
YALI1_D29013g,-0.037694561,1.645711094,0.84204022,0.889572612,,,,,,
