"","protein","orthogroup","Gene"
"2041","P40099","S+LYT","YER183C"
"2042","P40100","S+LYT","YER185W"
"2043","P40106","S+LYT","YER062C"
"2044","P40107","S+LYT","YGL225W"
"2045","P40150","S+LYT","YNL209W"
"2046","P40151","S+LYT","YNL218W"
"2047","P40152","S+LYT","YNL217W"
"2048","P40156","S+LYT","YNL213C"
"2049","P40157","S+LYT","YNL212W"
"2050","P40159","S+LYT","YNL208W"
"2051","P40160","S+LYT","YNL207W"
"2052","P40161","S+LYT","YNL206C"
"2053","P40164","S+LYT","YNL201C"
"2054","P40165","S+LYT","YNL200C"
"2055","P40169","S+LYT","YNL194C"
"2056","P40185","S+LYT","YIL051C"
"2057","P40186","S+LYT","YIL050W"
"2058","P40187","S+LYT","YIL045W"
"2059","P40202","S+LYT","YMR038C"
"2060","P40204","S+LYT","YFL017W-A"
"2061","P40206","S+LYT","YMR132C"
"2062","P40208","S+LYT","YMR135C"
"2063","P40209","S+LYT","YMR136W"
"2064","P40210","S+LYT","YMR140W"
"2065","P40212","S+LYT","YMR142C"
"2066","P40215","S+LYT","YMR145C"
"2067","P40217","S+LYT","YMR146C"
"2068","P40260","S+LYT","YGR121C"
"2069","P40302","S+LYT","YMR314W"
"2070","P40303","S+LYT","YOL038W"
"2071","P40308","S+LYT","YMR313C"
"2072","P40309","S+LYT","YJL094C"
"2073","P40310","S+LYT","YJL093C"
"2074","P40312","S+LYT","YNL111C"
"2075","P40314","S+LYT","YDR252W"
"2076","P40317","S+LYT","YDR006C"
"2077","P40318","S+LYT","YIL030C"
"2078","P40325","S+LYT","YGR268C"
"2079","P40327","S+LYT","YDL007W"
"2080","P40328","S+LYT","YPL074W"
"2081","P40335","S+LYT","YJL053W"
"2082","P40339","S+LYT","YOL094C"
"2083","P40340","S+LYT","YGR270W"
"2084","P40341","S+LYT","YMR089C"
"2085","P40343","S+LYT","YNR006W"
"2086","P40344","S+LYT","YNR007C"
"2087","P40345","S+LYT","YNR008W"
"2088","P40347","S+LYT","YPR073C"
"2089","P40348","S+LYT","YJR068W"
"2090","P40350","S+LYT","YPL227C"
"2091","P40351","S+LYT","YOR067C"
"2092","P40352","S+LYT","YJR035W"
"2093","P40354","S+LYT","YJR062C"
"2094","P40355","S+LYT","YJR061W"
"2095","P40357","S+LYT","YGR009C"
"2096","P40359","S+LYT","YJL072C"
"2097","P40360","S+LYT","YJL071W"
"2098","P40362","S+LYT","YJL069C"
"2099","P40363","S+LYT","YJL068C"
"2100","P40364","S+LYT","YJL066C"
"2101","P40367","S+LYT","YJL062W"
"2102","P40368","S+LYT","YJL061W"
"2103","P40395","S+LYT","YLR039C"
"2104","P40413","S+LYT","YJR064W"
"2105","P40416","S+LYT","YMR301C"
"2106","P40422","S+LYT","YHR143W-A"
"2107","P40433","S+LYT","YIL107C"
"2108","P40438","S+LYT","YIL173W"
"2109","P40445","S+LYT","YIL166C"
"2110","P40447","S+LYT","YIL164C"
"2111","P40452","S+LYT","YIL157C"
"2112","P40454","S+LYT","YIL153W"
"2113","P40457","S+LYT","YIL149C"
"2114","P40459","S+LYT","YIL145C"
"2115","P40460","S+LYT","YIL144W"
"2116","P40464","S+LYT","YIL134W"
"2117","P40466","S+LYT","YIL131C"
"2118","P40467","S+LYT","YIL130W"
"2119","P40468","S+LYT","YIL129C"
"2120","P40469","S+LYT","YIL128W"
"2121","P40471","S+LYT","YIL124W"
"2122","P40472","S+LYT","YIL123W"
"2123","P40474","S+LYT","YIL121W"
"2124","P40475","S+LYT","YIL120W"
"2125","P40476","S+LYT","YIL117C"
"2126","P40477","S+LYT","YIL115C"
"2127","P40478","S+LYT","YIL114C"
"2128","P40479","S+LYT","YIL113W"
"2129","P40480","S+LYT","YIL112W"
"2130","P40481","S+LYT","YIL110W"
"2131","P40482","S+LYT","YIL109C"
"2132","P40483","S+LYT","YIL108W"
"2133","P40484","S+LYT","YIL106W"
"2134","P40485","S+LYT","YIL105C"
"2135","P40486","S+LYT","YIL104C"
"2136","P40487","S+LYT","YIL103W"
"2137","P40489","S+LYT","YIL101C"
"2138","P40491","S+LYT","YIL098C"
"2139","P40492","S+LYT","YIL097W"
"2140","P40493","S+LYT","YIL096C"
"2141","P40494","S+LYT","YIL095W"
"2142","P40495","S+LYT","YIL094C"
"2143","P40496","S+LYT","YIL093C"
"2144","P40498","S+LYT","YIL091C"
"2145","P40499","S+LYT","YIL090W"
"2146","P40501","S+LYT","YIL088C"
"2147","P40502","S+LYT","YIL087C"
"2148","P40504","S+LYT","YIL085C"
"2149","P40505","S+LYT","YIL084C"
"2150","P40506","S+LYT","YIL083C"
"2151","P40507","S+LYT","YIL079C"
"2152","P40509","S+LYT","YIL076W"
"2153","P40510","S+LYT","YIL074C"
"2154","P40511","S+LYT","YIL073C"
"2155","P40513","S+LYT","YIL070C"
"2156","P40514","S+LYT","YIL067C"
"2157","P40515","S+LYT","YIL065C"
"2158","P40516","S+LYT","YIL064W"
"2159","P40517","S+LYT","YIL063C"
"2160","P40518","S+LYT","YIL062C"
"2161","P40522","S+LYT","YIL056W"
"2162","P40525","S+LYT","YIL052C"
"2163","P40526","S+LYT","YIL049W"
"2164","P40527","S+LYT","YIL048W"
"2165","P40528","S+LYT","YIL047C"
"2166","P40529","S+LYT","YIL044C"
"2167","P40530","S+LYT","YIL042C"
"2168","P40531","S+LYT","YIL041W"
"2169","P40533","S+LYT","YIL039W"
"2170","P40537","S+LYT","YIL031W"
"2171","P40541","S+LYT","YIL026C"
"2172","P40543","S+LYT","YIL024C"
"2173","P40544","S+LYT","YIL023C"
"2174","P40545","S+LYT","YIL020C"
"2175","P40546","S+LYT","YIL019W"
"2176","P40553","S+LYT","YIL010W"
"2177","P40554","S+LYT","YIL008W"
"2178","P40555","S+LYT","YIL007C"
"2179","P40556","S+LYT","YIL006W"
"2180","P40558","S+LYT","YIL003W"
"2181","P40560","S+LYT","YIL001W"
"2182","P40561","S+LYT","YIR001C"
"2183","P40562","S+LYT","YIR002C"
"2184","P40564","S+LYT","YIR004W"
"2185","P40565","S+LYT","YIR005W"
"2186","P40566","S+LYT","YIR007W"
"2187","P40567","S+LYT","YIR009W"
"2188","P40569","S+LYT","YIR013C"
"2189","P40571","S+LYT","YIR015W"
"2190","P40578","S+LYT","YIR033W"
"2191","P40579","S+LYT","YIR035C"
"2192","P40580","S+LYT","YIR036C"
"2193","P40581","S+LYT","YIR037W"
"2194","P40582","S+LYT","YIR038C"
"2195","P40586","S+LYT","YIR042C"
"2196","P40825","S+LYT","YOR335C"
"2197","P40850","S+LYT","YNL085W"
"2198","P40856","S+LYT","YJL098W"
"2199","P40857","S+LYT","YJL097W"
"2200","P40858","S+LYT","YJL096W"
"2201","P40884","S+LYT","YJL216C"
"2202","P40885","S+LYT","YJL219W"
"2203","P40886","S+LYT","YJL214W"
"2204","P40890","S+LYT","YJL222W"
"2205","P40892","S+LYT","YJL218W"
"2206","P40897","S+LYT","YJL212C"
"2207","P40917","S+LYT","YOR028C"
"2208","P40956","S+LYT","YGL181W"
"2209","P40957","S+LYT","YGL086W"
"2210","P40958","S+LYT","YJL030W"
"2211","P40959","S+LYT","YMR004W"
"2212","P40961","S+LYT","YGR132C"
"2213","P40962","S+LYT","YOR077W"
"2214","P40963","S+LYT","YMR127C"
"2215","P40965","S+LYT","YFL003C"
"2216","P40968","S+LYT","YDR364C"
"2217","P40970","S+LYT","YDR062W"
"2218","P40971","S+LYT","YDR034C"
"2219","P40985","S+LYT","YJR036C"
"2220","P40986","S+LYT","YDR182W"
"2221","P40987","S+LYT","YOR349W"
"2222","P40988","S+LYT","YMR319C"
"2223","P40989","S+LYT","YGR032W"
"2224","P40990","S+LYT","YDL107W"
"2225","P40991","S+LYT","YNL061W"
"2226","P40992","S+LYT","YJL025W"
"2227","P40994","S+LYT","YOR094W"
"2228","P41056","S+LYT","YOR234C"
"2229","P41057","S+LYT","YLR388W"
"2230","P41058","S+LYT","YDL061C"
"2231","P41277","S+LYT","YIL053W"
"2232","P41318","S+LYT","YNL006W"
"2233","P41338","S+LYT","YPL028W"
"2234","P41543","S+LYT","YJL002C"
"2235","P41544","S+LYT","YJL004C"
"2236","P41546","S+LYT","YFL031W"
"2237","P41695","S+LYT","YGR188C"
"2238","P41696","S+LYT","YOR113W"
"2239","P41697","S+LYT","YLR319C"
"2240","P41733","S+LYT","YLR459W"
"2241","P41734","S+LYT","YOR126C"
"2242","P41735","S+LYT","YOR125C"
"2243","P41800","S+LYT","YLL006W"
"2244","P41805","S+LYT","YLR075W"
"2245","P41806","S+LYT","YGR105W"
"2246","P41807","S+LYT","YPR036W"
"2247","P41810","S+LYT","YDR238C"
"2248","P41811","S+LYT","YGL137W"
"2249","P41812","S+LYT","YNL221C"
"2250","P41813","S+LYT","YNL068C"
"2251","P41814","S+LYT","YNL062C"
"2252","P41816","S+LYT","YPL171C"
"2253","P41817","S+LYT","YPL177C"
"2254","P41818","S+LYT","YMR311C"
"2255","P41819","S+LYT","YPL266W"
"2256","P41821","S+LYT","YNL291C"
"2257","P41832","S+LYT","YNL271C"
"2258","P41833","S+LYT","YGL192W"
"2259","P41834","S+LYT","YOR075W"
"2260","P41835","S+LYT","YPL214C"
"2261","P41895","S+LYT","YGR186W"
"2262","P41896","S+LYT","YGR005C"
"2263","P41903","S+LYT","YJR019C"
"2264","P41909","S+LYT","YPL147W"
"2265","P41910","S+LYT","YDR005C"
"2266","P41911","S+LYT","YOL059W"
"2267","P41912","S+LYT","YOL110W"
"2268","P41920","S+LYT","YDR002W"
"2269","P41921","S+LYT","YPL091W"
"2270","P41930","S+LYT","YPL092W"
"2271","P41939","S+LYT","YLR174W"
"2272","P41940","S+LYT","YDL055C"
"2273","P41948","S+LYT","YNL142W"
"2274","P42826","S+LYT","YGR194C"
"2275","P42833","S+LYT","YNL318C"
"2276","P42834","S+LYT","YNL328C"
"2277","P42836","S+LYT","YNL326C"
"2278","P42837","S+LYT","YNL325C"
"2279","P42839","S+LYT","YNL321W"
"2280","P42840","S+LYT","YNL320W"
"2281","P42841","S+LYT","YNL317W"
"2282","P42842","S+LYT","YNL313C"
"2283","P42844","S+LYT","YNL310C"
"2284","P42846","S+LYT","YNL308C"
"2285","P42847","S+LYT","YNL306W"
"2286","P42883","S+LYT","YNL332W"
"2287","P42884","S+LYT","YNL331C"
"2288","P42933","S+LYT","YMR191W"
"2289","P42935","S+LYT","YGR200C"
"2290","P42937","S+LYT","YGR203W"
"2291","P42938","S+LYT","YGR205W"
"2292","P42940","S+LYT","YGR207C"
"2293","P42941","S+LYT","YGR208W"
"2294","P42942","S+LYT","YGR210C"
"2295","P42943","S+LYT","YJL111W"
"2296","P42944","S+LYT","YJL110C"
"2297","P42945","S+LYT","YJL109C"
"2298","P42946","S+LYT","YJL108C"
"2299","P42948","S+LYT","YJL105W"
"2300","P42949","S+LYT","YJL104W"
"2301","P42951","S+LYT","YJL100W"
"2302","P43122","S+LYT","YDL104C"
"2303","P43123","S+LYT","YDL103C"
"2304","P43124","S+LYT","YDL105W"
"2305","P43132","S+LYT","YLR015W"
"2306","P43321","S+LYT","YLR147C"
"2307","P43534","S+LYT","YFL058W"
"2308","P43535","S+LYT","YFR009W"
"2309","P43544","S+LYT","YFL060C"
"2310","P43545","S+LYT","YFL059W"
"2311","P43548","S+LYT","YFL055W"
"2312","P43549","S+LYT","YFL054C"
"2313","P43550","S+LYT","YFL053W"
"2314","P43551","S+LYT","YFL052W"
"2315","P43553","S+LYT","YFL050C"
"2316","P43554","S+LYT","YFL049W"
"2317","P43555","S+LYT","YFL048C"
"2318","P43556","S+LYT","YFL047W"
"2319","P43557","S+LYT","YFL046W"
"2320","P43558","S+LYT","YFL044C"
"2321","P43560","S+LYT","YFL042C"
"2322","P43561","S+LYT","YFL041W"
"2323","P43562","S+LYT","YFL040W"
"2324","P43563","S+LYT","YFL034C-B"
"2325","P43564","S+LYT","YFL034W"
"2326","P43565","S+LYT","YFL033C"
"2327","P43567","S+LYT","YFL030W"
"2328","P43568","S+LYT","YFL029C"
"2329","P43569","S+LYT","YFL028C"
"2330","P43570","S+LYT","YFL027C"
"2331","P43571","S+LYT","YFL025C"
"2332","P43572","S+LYT","YFL024C"
"2333","P43573","S+LYT","YFL023W"
"2334","P43574","S+LYT","YFL021W"
"2335","P43577","S+LYT","YFL017C"
"2336","P43579","S+LYT","YFL013C"
"2337","P43581","S+LYT","YFL011W"
"2338","P43582","S+LYT","YFL010C"
"2339","P43583","S+LYT","YFL007W"
"2340","P43585","S+LYT","YFL004W"
"2341","P43586","S+LYT","YFR001W"
"2342","P43588","S+LYT","YFR004W"
"2343","P43589","S+LYT","YFR005C"
"2344","P43590","S+LYT","YFR006W"
"2345","P43591","S+LYT","YFR007W"
"2346","P43593","S+LYT","YFR010W"
"2347","P43594","S+LYT","YFR011C"
"2348","P43597","S+LYT","YFR016C"
"2349","P43599","S+LYT","YFR018C"
"2350","P43601","S+LYT","YFR021W"
"2351","P43602","S+LYT","YFR022W"
"2352","P43603","S+LYT","YFR024C-A"
"2353","P43605","S+LYT","YFR027W"
"2354","P43606","S+LYT","YFR029W"
"2355","P43607","S+LYT","YFR032C"
"2356","P43609","S+LYT","YFR037C"
"2357","P43610","S+LYT","YFR038W"
"2358","P43613","S+LYT","YFR041C"
"2359","P43616","S+LYT","YFR044C"
"2360","P43617","S+LYT","YFR045W"
"2361","P43619","S+LYT","YFR047C"
"2362","P43620","S+LYT","YFR048W"
"2363","P43621","S+LYT","YFR051C"
"2364","P43625","S+LYT","YFR057W"
"2365","P43633","S+LYT","YGL021W"
"2366","P43634","S+LYT","YLR098C"
"2367","P43635","S+LYT","YPR001W"
"2368","P43636","S+LYT","YGL065C"
"2369","P43637","S+LYT","YGL179C"
"2370","P43638","S+LYT","YJL042W"
"2371","P43639","S+LYT","YGL019W"
"2372","P43682","S+LYT","YKL006C-A"
"2373","P45818","S+LYT","YGL171W"
"2374","P45976","S+LYT","YJR093C"
"2375","P45978","S+LYT","YPR129W"
"2376","P46151","S+LYT","YPL023C"
"2377","P46367","S+LYT","YOR374W"
"2378","P46654","S+LYT","YLR048W"
"2379","P46655","S+LYT","YGL245W"
"2380","P46669","S+LYT","YOR340C"
"2381","P46672","S+LYT","YGL105W"
"2382","P46673","S+LYT","YJR042W"
"2383","P46674","S+LYT","YDR159W"
"2384","P46675","S+LYT","YLR045C"
"2385","P46677","S+LYT","YGR274C"
"2386","P46678","S+LYT","YNL039W"
"2387","P46679","S+LYT","YMR053C"
"2388","P46680","S+LYT","YMR092C"
"2389","P46681","S+LYT","YDL178W"
"2390","P46682","S+LYT","YGR261C"
"2391","P46683","S+LYT","YPL239W"
"2392","P46784","S+LYT","YMR230W"
"2393","P46943","S+LYT","YLR289W"
"2394","P46944","S+LYT","YDR108W"
"2395","P46946","S+LYT","YGL175C"
"2396","P46947","S+LYT","YGL174W"
"2397","P46948","S+LYT","YGR195W"
"2398","P46950","S+LYT","YGR197C"
"2399","P46955","S+LYT","YJL116C"
"2400","P46957","S+LYT","YJR006W"
"2401","P46959","S+LYT","YJL125C"
"2402","P46961","S+LYT","YPL076W"
"2403","P46962","S+LYT","YJL006C"
"2404","P46963","S+LYT","YML112W"
"2405","P46964","S+LYT","YOR103C"
"2406","P46965","S+LYT","YJR010C-A"
"2407","P46969","S+LYT","YJL121C"
"2408","P46970","S+LYT","YJR132W"
"2409","P46971","S+LYT","YJR143C"
"2410","P46972","S+LYT","YMR035W"
"2411","P46973","S+LYT","YJR055W"
"2412","P46974","S+LYT","YJR127C"
"2413","P46982","S+LYT","YJL186W"
"2414","P46985","S+LYT","YJL183W"
"2415","P46988","S+LYT","YJL179W"
"2416","P46989","S+LYT","YJL178C"
"2417","P46990","S+LYT","YJL177W"
"2418","P46992","S+LYT","YJL171C"
"2419","P46995","S+LYT","YJL168C"
"2420","P46996","S+LYT","YJL163C"
"2421","P46999","S+LYT","YJL160C"
"2422","P47001","S+LYT","YJL158C"
"2423","P47002","S+LYT","YJL156C"
"2424","P47008","S+LYT","YJL145W"
"2425","P47011","S+LYT","YJL137C"
"2426","P47013","S+LYT","YJL134W"
"2427","P47014","S+LYT","YJL132W"
"2428","P47016","S+LYT","YJL126W"
"2429","P47017","S+LYT","YJL124C"
"2430","P47018","S+LYT","YJL123C"
"2431","P47019","S+LYT","YJL122W"
"2432","P47025","S+LYT","YJL112W"
"2433","P47026","S+LYT","YJL091C"
"2434","P47027","S+LYT","YJL090C"
"2435","P47029","S+LYT","YJL084C"
"2436","P47030","S+LYT","YJL083W"
"2437","P47031","S+LYT","YJL082W"
"2438","P47032","S+LYT","YJL079C"
"2439","P47035","S+LYT","YJL076W"
"2440","P47037","S+LYT","YJL074C"
"2441","P47039","S+LYT","YJL060W"
"2442","P47040","S+LYT","YJL059W"
"2443","P47041","S+LYT","YJL058C"
"2444","P47042","S+LYT","YJL057C"
"2445","P47044","S+LYT","YJL055W"
"2446","P47045","S+LYT","YJL054W"
"2447","P47047","S+LYT","YJL050W"
"2448","P47048","S+LYT","YJL049W"
"2449","P47049","S+LYT","YJL048C"
"2450","P47051","S+LYT","YJL046W"
"2451","P47052","S+LYT","YJL045W"
"2452","P47054","S+LYT","YJL039C"
"2453","P47057","S+LYT","YJL036W"
"2454","P47058","S+LYT","YJL035C"
"2455","P47061","S+LYT","YJL029C"
"2456","P47064","S+LYT","YJL024C"
"2457","P47068","S+LYT","YJL020C"
"2458","P47074","S+LYT","YJL013C"
"2459","P47075","S+LYT","YJL012C"
"2460","P47076","S+LYT","YJL011C"
"2461","P47077","S+LYT","YJL010C"
"2462","P47079","S+LYT","YJL008C"
"2463","P47081","S+LYT","YJL003W"
"2464","P47082","S+LYT","YJR001W"
"2465","P47083","S+LYT","YJR002W"
"2466","P47085","S+LYT","YJR008W"
"2467","P47087","S+LYT","YJR012C"
"2468","P47088","S+LYT","YJR013W"
"2469","P47089","S+LYT","YJR014W"
"2470","P47090","S+LYT","YJR015W"
"2471","P47093","S+LYT","YJR022W"
"2472","P47095","S+LYT","YJR024C"
"2473","P47096","S+LYT","YJR025C"
"2474","P47102","S+LYT","YJR031C"
"2475","P47104","S+LYT","YJR033C"
"2476","P47108","S+LYT","YJR041C"
"2477","P47111","S+LYT","YJR044C"
"2478","P47114","S+LYT","YJR054W"
"2479","P47115","S+LYT","YJR056C"
"2480","P47117","S+LYT","YJR065C"
"2481","P47119","S+LYT","YJR069C"
"2482","P47120","S+LYT","YJR070C"
"2483","P47122","S+LYT","YJR072C"
"2484","P47123","S+LYT","YJR074W"
"2485","P47124","S+LYT","YJR075W"
"2486","P47125","S+LYT","YJR078W"
"2487","P47127","S+LYT","YJR080C"
"2488","P47128","S+LYT","YJR082C"
"2489","P47130","S+LYT","YJR084W"
"2490","P47131","S+LYT","YJR085C"
"2491","P47133","S+LYT","YJR088C"
"2492","P47135","S+LYT","YJR091C"
"2493","P47136","S+LYT","YJR092W"
"2494","P47137","S+LYT","YJR096W"
"2495","P47138","S+LYT","YJR097W"
"2496","P47139","S+LYT","YJR098C"
"2497","P47140","S+LYT","YJR100C"
"2498","P47141","S+LYT","YJR101W"
"2499","P47142","S+LYT","YJR102C"
"2500","P47143","S+LYT","YJR105W"
"2501","P47145","S+LYT","YJR107W"
"2502","P47147","S+LYT","YJR110W"
"2503","P47148","S+LYT","YJR111C"
"2504","P47149","S+LYT","YJR112W"
"2505","P47150","S+LYT","YJR113C"
"2506","P47153","S+LYT","YJR116W"
"2507","P47154","S+LYT","YJR117W"
"2508","P47155","S+LYT","YJR118C"
"2509","P47156","S+LYT","YJR119C"
"2510","P47158","S+LYT","YJR122W"
"2511","P47159","S+LYT","YJR124C"
"2512","P47160","S+LYT","YJR125C"
"2513","P47161","S+LYT","YJR126C"
"2514","P47163","S+LYT","YJR129C"
"2515","P47164","S+LYT","YJR130C"
"2516","P47165","S+LYT","YJR133W"
"2517","P47169","S+LYT","YJR137C"
"2518","P47170","S+LYT","YJR138W"
"2519","P47171","S+LYT","YJR140C"
"2520","P47172","S+LYT","YJR141W"
"2521","P47173","S+LYT","YJR142W"
"2522","P47176","S+LYT","YJR148W"
"2523","P47177","S+LYT","YJR149W"
"2524","P47183","S+LYT","YJR156C"
"2525","P47185","S+LYT","YJR158W"
"2526","P47771","S+LYT","YMR170C"
"2527","P47818","S+LYT","YLR220W"
"2528","P47821","S+LYT","YNL025C"
"2529","P47822","S+LYT","YDR308C"
"2530","P47912","S+LYT","YMR246W"
"2531","P47976","S+LYT","YDR151C"
"2532","P47977","S+LYT","YLR136C"
"2533","P47988","S+LYT","YOR337W"
"2534","P48015","S+LYT","YDR019C"
"2535","P48016","S+LYT","YPR026W"
"2536","P48164","S+LYT","YNL096C"
"2537","P48231","S+LYT","YNL087W"
"2538","P48234","S+LYT","YGR145W"
"2539","P48236","S+LYT","YGR149W"
"2540","P48237","S+LYT","YGR150C"
"2541","P48240","S+LYT","YGR158C"
"2542","P48353","S+LYT","YMR161W"
"2543","P48360","S+LYT","YDR376W"
"2544","P48362","S+LYT","YGR187C"
"2545","P48363","S+LYT","YGR078C"
"2546","P48365","S+LYT","YDL234C"
"2547","P48415","S+LYT","YPL085W"
"2548","P48439","S+LYT","YOR085W"
"2549","P48445","S+LYT","YDL141W"
"2550","P48510","S+LYT","YMR276W"
"2551","P48525","S+LYT","YOL033W"
"2552","P48526","S+LYT","YPL040C"
"2553","P48527","S+LYT","YPL097W"
"2554","P48558","S+LYT","YNL305C"
"2555","P48561","S+LYT","YNL299W"
"2556","P48562","S+LYT","YNL298W"
"2557","P48563","S+LYT","YNL297C"
"2558","P48565","S+LYT","YNL294C"
"2559","P48566","S+LYT","YNL293W"
"2560","P48567","S+LYT","YNL292W"
"2561","P48569","S+LYT","YDL183C"
"2562","P48570","S+LYT","YDL182W"
"2563","P48581","S+LYT","YOR368W"
"2564","P48582","S+LYT","YPL084W"
"2565","P48589","S+LYT","YOR369C"
"2566","P48606","S+LYT","YOR265W"
"2567","P48743","S+LYT","YLR176C"
"2568","P48836","S+LYT","YHR039C-A"
"2569","P48837","S+LYT","YGR119C"
"2570","P49017","S+LYT","YML110C"
"2571","P49018","S+LYT","YDR331W"
"2572","P49089","S+LYT","YPR145W"
"2573","P49090","S+LYT","YGR124W"
"2574","P49095","S+LYT","YMR189W"
"2575","P49166","S+LYT","YLR185W"
"2576","P49167","S+LYT","YLR325C"
"2577","P49334","S+LYT","YNL131W"
"2578","P49367","S+LYT","YDR234W"
"2579","P49435","S+LYT","YML022W"
"2580","P49573","S+LYT","YPR124W"
"2581","P49626","S+LYT","YDR012W"
"2582","P49687","S+LYT","YGL092W"
"2583","P49704","S+LYT","YGR091W"
"2584","P49775","S+LYT","YDR305C"
"2585","P49954","S+LYT","YLR351C"
"2586","P49955","S+LYT","YMR288W"
"2587","P49956","S+LYT","YMR078C"
"2588","P49957","S+LYT","YML014W"
"2589","P49960","S+LYT","YMR268C"
"2590","P50076","S+LYT","YGR227W"
"2591","P50077","S+LYT","YGR217W"
"2592","P50079","S+LYT","YGR223C"
"2593","P50080","S+LYT","YGR224W"
"2594","P50082","S+LYT","YGR225W"
"2595","P50084","S+LYT","YGR230W"
"2596","P50085","S+LYT","YGR231C"
"2597","P50086","S+LYT","YGR232W"
"2598","P50087","S+LYT","YGR235C"
"2599","P50090","S+LYT","YGR238C"
"2600","P50094","S+LYT","YML056C"
"2601","P50101","S+LYT","YMR304W"
"2602","P50102","S+LYT","YMR223W"
"2603","P50104","S+LYT","YMR019W"
"2604","P50105","S+LYT","YMR005W"
"2605","P50107","S+LYT","YML004C"
"2606","P50108","S+LYT","YDR245W"
"2607","P50111","S+LYT","YMR273C"
"2608","P50112","S+LYT","YDL049C"
"2609","P50113","S+LYT","YGL154C"
"2610","P50264","S+LYT","YMR020W"
"2611","P50275","S+LYT","YOR058C"
"2612","P50276","S+LYT","YGR055W"
"2613","P50278","S+LYT","YNR034W"
"2614","P50623","S+LYT","YDL064W"
"2615","P50861","S+LYT","YOL143C"
"2616","P50874","S+LYT","YNL261W"
"2617","P50875","S+LYT","YOL148C"
"2618","P50896","S+LYT","YDR505C"
"2619","P50942","S+LYT","YNL106C"
"2620","P50946","S+LYT","YNL099C"
"2621","P50947","S+LYT","YNL097C"
"2622","P51401","S+LYT","YNL067W"
"2623","P51402","S+LYT","YDR500C"
"2624","P51533","S+LYT","YOR328W"
"2625","P51534","S+LYT","YOR035C"
"2626","P51601","S+LYT","YGR267C"
"2627","P51862","S+LYT","YLR371W"
"2628","P51979","S+LYT","YGL251C"
"2629","P51996","S+LYT","YGL210W"
"2630","P51998","S+LYT","YML025C"
"2631","P52286","S+LYT","YDR328C"
"2632","P52290","S+LYT","YDL024C"
"2633","P52488","S+LYT","YDR390C"
"2634","P52490","S+LYT","YDR092W"
"2635","P52491","S+LYT","YLR306W"
"2636","P52492","S+LYT","YOR339C"
"2637","P52553","S+LYT","YLR200W"
"2638","P52593","S+LYT","YML103C"
"2639","P52867","S+LYT","YDL093W"
"2640","P52870","S+LYT","YER087C-B"
"2641","P52871","S+LYT","YER019C-A"
"2642","P52891","S+LYT","YDL116W"
"2643","P52892","S+LYT","YDR111C"
"2644","P52893","S+LYT","YLR089C"
"2645","P52910","S+LYT","YLR153C"
"2646","P52917","S+LYT","YPR173C"
"2647","P52918","S+LYT","YDR335W"
"2648","P52920","S+LYT","YGL091C"
"2649","P52923","S+LYT","YNR074C"
"2650","P53008","S+LYT","YGL027C"
"2651","P53009","S+LYT","YGL083W"
"2652","P53010","S+LYT","YGL094C"
"2653","P53011","S+LYT","YGL100W"
"2654","P53012","S+LYT","YGL126W"
"2655","P53035","S+LYT","YGL209W"
"2656","P53037","S+LYT","YGR170W"
"2657","P53038","S+LYT","YGR099W"
"2658","P53039","S+LYT","YGR172C"
"2659","P53040","S+LYT","YGL112C"
"2660","P53043","S+LYT","YGR123C"
"2661","P53044","S+LYT","YGR048W"
"2662","P53045","S+LYT","YGR060W"
"2663","P53046","S+LYT","YGR070W"
"2664","P53047","S+LYT","YGR213C"
"2665","P53048","S+LYT","YGR289C"
"2666","P53049","S+LYT","YGR281W"
"2667","P53051","S+LYT","YGR287C"
"2668","P53054","S+LYT","YGL262W"
"2669","P53062","S+LYT","YGL247W"
"2670","P53063","S+LYT","YGL246C"
"2671","P53064","S+LYT","YGL244W"
"2672","P53065","S+LYT","YGL243W"
"2673","P53066","S+LYT","YGL242C"
"2674","P53067","S+LYT","YGL241W"
"2675","P53068","S+LYT","YGL240W"
"2676","P53070","S+LYT","YGL236C"
"2677","P53072","S+LYT","YGL232W"
"2678","P53073","S+LYT","YGL231C"
"2679","P53076","S+LYT","YGL227W"
"2680","P53078","S+LYT","YGL224C"
"2681","P53081","S+LYT","YGL221C"
"2682","P53082","S+LYT","YGL220W"
"2683","P53083","S+LYT","YGL219C"
"2684","P53086","S+LYT","YGL216W"
"2685","P53088","S+LYT","YGL211W"
"2686","P53090","S+LYT","YGL202W"
"2687","P53091","S+LYT","YGL201C"
"2688","P53093","S+LYT","YGL198W"
"2689","P53095","S+LYT","YGL196W"
"2690","P53096","S+LYT","YGL194C"
"2691","P53099","S+LYT","YGL186C"
"2692","P53101","S+LYT","YGL184C"
"2693","P53102","S+LYT","YGL183C"
"2694","P53104","S+LYT","YGL180W"
"2695","P53107","S+LYT","YGL164C"
"2696","P53108","S+LYT","YGL161C"
"2697","P53109","S+LYT","YGL160W"
"2698","P53110","S+LYT","YGL159W"
"2699","P53111","S+LYT","YGL157W"
"2700","P53112","S+LYT","YGL153W"
"2701","P53114","S+LYT","YGL151W"
"2702","P53115","S+LYT","YGL150C"
"2703","P53118","S+LYT","YGL144C"
"2704","P53119","S+LYT","YGL141W"
"2705","P53120","S+LYT","YGL140C"
