Orthogroup	A_s288c	K.marxianus	L.fermentati	Z.rouxii
OG0004156	P07248	KMXK_0B01290	tr|A0A1G4MJM5|A0A1G4MJM5_LACFM	tr|C5DQ82|C5DQ82_ZYGRC
OG0004157	P40053	KMXK_0D04360	tr|A0A1G4M7Q1|A0A1G4M7Q1_LACFM	sp|C5DTI7|AIM9_ZYGRC
OG0004158	P32317	KMXK_0C06610	tr|A0A1G4MG02|A0A1G4MG02_LACFM	tr|C5DW69|C5DW69_ZYGRC
OG0004159	P40529	KMXK_0D03640	tr|A0A1G4M7U5|A0A1G4M7U5_LACFM	tr|C5DWQ2|C5DWQ2_ZYGRC
OG0004160	P47143	KMXK_0F01350	tr|A0A1G4MIL0|A0A1G4MIL0_LACFM	tr|C5DUW5|C5DUW5_ZYGRC
OG0004161	Q03798	KMXK_0B06660	tr|A0A1G4MDC1|A0A1G4MDC1_LACFM	sp|C5DQ08|AIM36_ZYGRC
OG0004162	P40507	KMXK_0F00850	tr|A0A1G4M7N8|A0A1G4M7N8_LACFM	tr|C5DTJ7|C5DTJ7_ZYGRC
OG0004163	P48360	KMXK_0B06170	tr|A0A1G4MEN5|A0A1G4MEN5_LACFM	tr|C5E1V4|C5E1V4_ZYGRC
OG0004164	P53109	KMXK_0D03210	tr|A0A1G4MFB7|A0A1G4MFB7_LACFM	sp|C5E4F2|AIM14_ZYGRC
OG0004165	Q12156	KMXK_0D01150	tr|A0A1G4MKI0|A0A1G4MKI0_LACFM	tr|C5E026|C5E026_ZYGRC
OG0004166	P38305	KMXK_0A00730	tr|A0A1G4MIF7|A0A1G4MIF7_LACFM	sp|C5DP04|AIM4_ZYGRC
OG0004167	P39010	KMXK_0F04810	tr|A0A1G4MBI1|A0A1G4MBI1_LACFM	tr|C5DTT3|C5DTT3_ZYGRC
OG0004168	P47177	KMXK_0C06040	tr|A0A1G4MJ44|A0A1G4MJ44_LACFM	tr|C5E0T6|C5E0T6_ZYGRC
OG0004169	Q12471	KMXK_0H01570	tr|A0A1G4MJ77|A0A1G4MJ77_LACFM	tr|C5DSU6|C5DSU6_ZYGRC
OG0004170	Q02804	KMXK_0H03720	tr|A0A1G4MIJ9|A0A1G4MIJ9_LACFM	tr|C5DXX5|C5DXX5_ZYGRC
OG0004171	P54074	KMXK_0D00980	tr|A0A1G4MAI4|A0A1G4MAI4_LACFM	tr|C5DQ71|C5DQ71_ZYGRC
OG0004172	P46993	KMXK_0A04800	tr|A0A1G4MHF6|A0A1G4MHF6_LACFM	tr|C5E180|C5E180_ZYGRC
OG0004173	Q07528	KMXK_0G01020	tr|A0A1G4MDF9|A0A1G4MDF9_LACFM	tr|C5DXU9|C5DXU9_ZYGRC
OG0004174	Q12421	KMXK_0A03150	tr|A0A1G4MCX8|A0A1G4MCX8_LACFM	tr|C5DPH6|C5DPH6_ZYGRC
OG0004175	P81450	KMXK_0D05360	tr|A0A1G4M6A2|A0A1G4M6A2_LACFM	tr|C5DRG7|C5DRG7_ZYGRC
OG0004176	P50273	KMXK_0A01530	tr|A0A1G4MEI1|A0A1G4MEI1_LACFM	tr|C5DPV6|C5DPV6_ZYGRC
OG0004177	P40986	KMXK_0E05530	tr|A0A1G4MJS6|A0A1G4MJS6_LACFM	tr|C5DSY5|C5DSY5_ZYGRC
OG0004178	P22768	KMXK_0A06750	tr|A0A1G4MHB8|A0A1G4MHB8_LACFM	tr|C5DPR0|C5DPR0_ZYGRC
OG0004179	P39524	KMXK_0E01260	tr|A0A1G4MC97|A0A1G4MC97_LACFM	tr|C5DVA6|C5DVA6_ZYGRC
OG0004180	Q06410	KMXK_0A02140	tr|A0A1G4M6G1|A0A1G4M6G1_LACFM	tr|C5DS40|C5DS40_ZYGRC
OG0004181	P25568	KMXK_0A07990	tr|A0A1G4MGQ7|A0A1G4MGQ7_LACFM	tr|C5DZ32|C5DZ32_ZYGRC
OG0004182	P53104	KMXK_0C03140	tr|A0A1G4MBE1|A0A1G4MBE1_LACFM	tr|C5E193|C5E193_ZYGRC
OG0004183	P40344	KMXK_0F01090	tr|A0A1G4M9D4|A0A1G4M9D4_LACFM	tr|C5DT50|C5DT50_ZYGRC
OG0004184	Q12380	KMXK_0B02120	tr|A0A1G4MHJ4|A0A1G4MHJ4_LACFM	tr|C5DXR2|C5DXR2_ZYGRC
OG0004185	P38862	KMXK_0D04550	tr|A0A1G4MJ30|A0A1G4MJ30_LACFM	tr|C5DTW0|C5DTW0_ZYGRC
OG0004186	P40994	KMXK_0G02280	tr|A0A1G4ME32|A0A1G4ME32_LACFM	tr|C5E422|C5E422_ZYGRC
OG0004187	P47117	KMXK_0C00510	tr|A0A1G4MAD5|A0A1G4MAD5_LACFM	tr|C5E1W2|C5E1W2_ZYGRC
OG0004188	P80428	KMXK_0A02330	tr|A0A1G4MKL3|A0A1G4MKL3_LACFM	tr|C5E1J2|C5E1J2_ZYGRC
OG0004189	P40518	KMXK_0H01720	tr|A0A1G4M7R9|A0A1G4M7R9_LACFM	tr|C5DTG8|C5DTG8_ZYGRC
OG0004190	P39986	KMXK_0A01300	tr|A0A1G4M8M8|A0A1G4M8M8_LACFM	tr|C5DXH4|C5DXH4_ZYGRC
OG0004191	P40527	KMXK_0H01920	tr|A0A1G4M806|A0A1G4M806_LACFM	tr|C5DWQ8|C5DWQ8_ZYGRC
OG0004192	Q12527	KMXK_0H03360	tr|A0A1G4MIM0|A0A1G4MIM0_LACFM	tr|C5DUC6|C5DUC6_ZYGRC
OG0004193	Q06628	KMXK_0D04960	tr|A0A1G4ML84|A0A1G4ML84_LACFM	tr|C5DUS2|C5DUS2_ZYGRC
OG0004194	P38316	KMXK_0A06070	tr|A0A1G4M9M9|A0A1G4M9M9_LACFM	tr|C5DT25|C5DT25_ZYGRC
OG0004195	Q06321	KMXK_0A07620	tr|A0A1G4MGQ9|A0A1G4MGQ9_LACFM	tr|C5DYZ7|C5DYZ7_ZYGRC
OG0004196	P46989	KMXK_0A04880	tr|A0A1G4MHE5|A0A1G4MHE5_LACFM	tr|C5DWR3|C5DWR3_ZYGRC
OG0004197	P53855	KMXK_0E06280	tr|A0A1G4MJ25|A0A1G4MJ25_LACFM	tr|C5DYU0|C5DYU0_ZYGRC
OG0004198	P53867	KMXK_0E06110	tr|A0A1G4MJA1|A0A1G4MJA1_LACFM	tr|C5DYS2|C5DYS2_ZYGRC
OG0004199	P40458	KMXK_0C07170	tr|A0A1G4MEL1|A0A1G4MEL1_LACFM	sp|C5DZR8|ATG32_ZYGRC
OG0004200	P48016	KMXK_0H01370	tr|A0A1G4M8I3|A0A1G4M8I3_LACFM	tr|C5DYH6|C5DYH6_ZYGRC
OG0004201	P40416	KMXK_0A03350	tr|A0A1G4MDX1|A0A1G4MDX1_LACFM	tr|C5DVJ0|C5DVJ0_ZYGRC
OG0004202	P38110	KMXK_0H01520	tr|A0A1G4M8F1|A0A1G4M8F1_LACFM	tr|C5DQY4|C5DQY4_ZYGRC
OG0004203	Q12127	KMXK_0D02020	tr|A0A1G4MK16|A0A1G4MK16_LACFM	tr|C5DVF2|C5DVF2_ZYGRC
OG0004204	P18496	KMXK_0H00580	tr|A0A1G4MD65|A0A1G4MD65_LACFM	tr|C5DRZ1|C5DRZ1_ZYGRC
OG0004205	P32453	KMXK_0H01610	tr|A0A1G4MJ31|A0A1G4MJ31_LACFM	tr|C5DSU2|C5DSU2_ZYGRC
OG0004206	P50275	KMXK_0C02580	tr|A0A1G4MEF1|A0A1G4MEF1_LACFM	tr|C5DSD3|C5DSD3_ZYGRC
OG0004207	P35734	KMXK_0G02700	tr|A0A1G4MF44|A0A1G4MF44_LACFM	tr|C5DX07|C5DX07_ZYGRC
OG0004208	Q03702	KMXK_0F04080	tr|A0A1G4MAX3|A0A1G4MAX3_LACFM	tr|C5E3W2|C5E3W2_ZYGRC
OG0004209	P50077	KMXK_0F05100	tr|A0A1G4MAI6|A0A1G4MAI6_LACFM	tr|C5DQC0|C5DQC0_ZYGRC
OG0004210	P13586	KMXK_0C06100	tr|A0A1G4M8B7|A0A1G4M8B7_LACFM	tr|C5E450|C5E450_ZYGRC
OG0004211	P16639	KMXK_0E01550	tr|A0A1G4MB71|A0A1G4MB71_LACFM	tr|C5E060|C5E060_ZYGRC
OG0004212	P38270	KMXK_0B07250	tr|A0A1G4MC28|A0A1G4MC28_LACFM	tr|C5DUI4|C5DUI4_ZYGRC
OG0004213	Q07879	KMXK_0G04130	tr|A0A1G4MB76|A0A1G4MB76_LACFM	tr|C5DZW5|C5DZW5_ZYGRC
OG0004214	Q06671	KMXK_0E01900	tr|A0A1G4M6F0|A0A1G4M6F0_LACFM	tr|C5DS51|C5DS51_ZYGRC
OG0004215	P40155	KMXK_0E05960	tr|A0A1G4MJ96|A0A1G4MJ96_LACFM	tr|C5DTR2|C5DTR2_ZYGRC
OG0004216	Q02969	KMXK_0E00310	tr|A0A1G4MI16|A0A1G4MI16_LACFM	tr|C5DY66|C5DY66_ZYGRC
OG0004217	P28795	KMXK_0F04700	tr|A0A1G4MBF7|A0A1G4MBF7_LACFM	tr|C5DVY3|C5DVY3_ZYGRC
OG0004218	Q12181	KMXK_0H03370	tr|A0A1G4MII2|A0A1G4MII2_LACFM	tr|C5DUC5|C5DUC5_ZYGRC
OG0004219	P36052	KMXK_0C02460	tr|A0A1G4MES5|A0A1G4MES5_LACFM	tr|C5DSC1|C5DSC1_ZYGRC
OG0004220	Q12746	KMXK_0H02620	tr|A0A1G4MHK1|A0A1G4MHK1_LACFM	tr|C5DP66|C5DP66_ZYGRC
OG0004221	P53939	KMXK_0D03940	tr|A0A1G4MDV9|A0A1G4MDV9_LACFM	tr|C5DUA0|C5DUA0_ZYGRC
OG0004222	P38798	KMXK_0E03580	tr|A0A1G4MBC8|A0A1G4MBC8_LACFM	tr|C5DVZ3|C5DVZ3_ZYGRC
OG0004223	P39744	KMXK_0E00510	tr|A0A1G4MI46|A0A1G4MI46_LACFM	tr|C5DY83|C5DY83_ZYGRC
OG0004224	P53742	KMXK_0D00260	tr|A0A1G4M8T7|A0A1G4M8T7_LACFM	tr|C5DWU6|C5DWU6_ZYGRC
OG0004225	P48234	KMXK_0E01470	tr|A0A1G4MKH1|A0A1G4MKH1_LACFM	tr|C5E032|C5E032_ZYGRC
OG0004226	P38742	KMXK_0D01230	tr|A0A1G4MBJ5|A0A1G4MBJ5_LACFM	tr|C5DQJ7|C5DQJ7_ZYGRC
OG0004227	P39683	KMXK_0B08260	tr|A0A1G4MHN7|A0A1G4MHN7_LACFM	tr|C5DXM2|C5DXM2_ZYGRC
OG0004228	P53617	KMXK_0A07230	tr|A0A1G4MH96|A0A1G4MH96_LACFM	tr|C5DYV5|C5DYV5_ZYGRC
OG0004229	Q07418	KMXK_0H00600	tr|A0A1G4MD17|A0A1G4MD17_LACFM	tr|C5DRY8|C5DRY8_ZYGRC
OG0004230	P50091	KMXK_0F05360	tr|A0A1G4MAD8|A0A1G4MAD8_LACFM	tr|C5DRG1|C5DRG1_ZYGRC
OG0004231	Q03370	KMXK_0A04560	tr|A0A1G4MBS2|A0A1G4MBS2_LACFM	tr|C5DPS1|C5DPS1_ZYGRC
OG0004232	P33760	KMXK_0B06410	tr|A0A1G4MIU4|A0A1G4MIU4_LACFM	tr|C5DSW3|C5DSW3_ZYGRC
OG0004233	P36003	KMXK_0A04710	tr|A0A1G4MGX5|A0A1G4MGX5_LACFM	tr|C5E171|C5E171_ZYGRC
OG0004234	P39923	KMXK_0G00420	tr|A0A1G4MCB8|A0A1G4MCB8_LACFM	tr|C5DTE4|C5DTE4_ZYGRC
OG0004235	P14907	KMXK_0B01080	tr|A0A1G4M6Q5|A0A1G4M6Q5_LACFM	tr|C5DTS4|C5DTS4_ZYGRC
OG0004236	P25339	KMXK_0A03780	tr|A0A1G4MAY5|A0A1G4MAY5_LACFM	tr|C5E071|C5E071_ZYGRC
OG0004237	P07244	KMXK_0C07040	tr|A0A1G4MG92|A0A1G4MG92_LACFM	tr|C5E4W6|C5E4W6_ZYGRC
OG0004238	P21264	KMXK_0B06100	tr|A0A1G4MEW3|A0A1G4MEW3_LACFM	tr|C5DZH2|C5DZH2_ZYGRC
OG0004239	P07275	KMXK_0C04210	tr|A0A1G4MG32|A0A1G4MG32_LACFM	tr|C5E0Z8|C5E0Z8_ZYGRC
OG0004240	P25502	KMXK_0F04160	tr|A0A1G4MAG2|A0A1G4MAG2_LACFM	tr|C5E3V5|C5E3V5_ZYGRC
OG0004241	P38972	KMXK_0E02870	tr|A0A1G4MD69|A0A1G4MD69_LACFM	tr|C5DRE1|C5DRE1_ZYGRC
OG0004242	P04046	KMXK_0A03360	tr|A0A1G4MEC1|A0A1G4MEC1_LACFM	tr|C5DVJ1|C5DVJ1_ZYGRC
OG0004243	P53294	KMXK_0C01790	tr|A0A1G4MDV5|A0A1G4MDV5_LACFM	tr|C5DU40|C5DU40_ZYGRC
OG0004244	P21304	KMXK_0E03140	tr|A0A1G4M7G0|A0A1G4M7G0_LACFM	tr|C5DQR9|C5DQR9_ZYGRC
OG0004245	P25635	KMXK_0C04900	tr|A0A1G4M9F0|A0A1G4M9F0_LACFM	tr|C5DVQ3|C5DVQ3_ZYGRC
OG0004246	P40048	KMXK_0D04290	tr|A0A1G4M7Q2|A0A1G4M7Q2_LACFM	tr|C5DTI0|C5DTI0_ZYGRC
OG0004247	P80210	KMXK_0E06060	tr|A0A1G4MJ83|A0A1G4MJ83_LACFM	sp|C5DYR7|PURA_ZYGRC
OG0004248	P49167	KMXK_0D00530	tr|A0A1G4MB27|A0A1G4MB27_LACFM	tr|C5E0A1|C5E0A1_ZYGRC
OG0004249	P38958	KMXK_0C03700	tr|A0A1G4MK95|A0A1G4MK95_LACFM	tr|C5DRT6|C5DRT6_ZYGRC
OG0004250	P38876	KMXK_0A05790	tr|A0A1G4MHK8|A0A1G4MHK8_LACFM	tr|C5DP72|C5DP72_ZYGRC
OG0004251	Q12461	KMXK_0B02200	tr|A0A1G4MHG4|A0A1G4MHG4_LACFM	tr|C5DXS0|C5DXS0_ZYGRC
OG0004252	Q12146	KMXK_0B06460	tr|A0A1G4MIY1|A0A1G4MIY1_LACFM	tr|C5DSW8|C5DSW8_ZYGRC
OG0004253	P29461	KMXK_0B08280	tr|A0A1G4MI50|A0A1G4MI50_LACFM	tr|C5DXM0|C5DXM0_ZYGRC
OG0004254	Q07807	KMXK_0C02170	tr|A0A1G4M7B3|A0A1G4M7B3_LACFM	tr|C5DRR4|C5DRR4_ZYGRC
OG0004255	Q12211	KMXK_0D05740	tr|A0A1G4M9L3|A0A1G4M9L3_LACFM	tr|C5E4L6|C5E4L6_ZYGRC
OG0004256	Q06244	KMXK_0E05500	tr|A0A1G4MJX5|A0A1G4MJX5_LACFM	tr|C5DSY2|C5DSY2_ZYGRC
OG0004257	P36010	KMXK_0A01770	tr|A0A1G4MJ57|A0A1G4MJ57_LACFM	tr|C5DWY9|C5DWY9_ZYGRC
OG0004258	P38830	KMXK_0F03090	tr|A0A1G4MEP7|A0A1G4MEP7_LACFM	tr|C5DZP5|C5DZP5_ZYGRC
OG0004259	P38757	KMXK_0F02380	tr|A0A1G4MKR8|A0A1G4MKR8_LACFM	tr|C5DQP5|C5DQP5_ZYGRC
OG0004260	P47035	KMXK_0C04720	tr|A0A1G4MKW5|A0A1G4MKW5_LACFM	tr|C5E1I7|C5E1I7_ZYGRC
OG0004261	Q08959	KMXK_0D05640	tr|A0A1G4M9M3|A0A1G4M9M3_LACFM	tr|C5DU25|C5DU25_ZYGRC
OG0004262	Q02771	KMXK_0H01890	tr|A0A1G4M7W9|A0A1G4M7W9_LACFM	tr|C5DTF4|C5DTF4_ZYGRC
OG0004263	P10355	KMXK_0B04450	tr|A0A1G4MK98|A0A1G4MK98_LACFM	tr|C5DRT2|C5DRT2_ZYGRC
OG0004264	P32588	KMXK_0G01200	tr|A0A1G4MDD1|A0A1G4MDD1_LACFM	tr|C5DPD1|C5DPD1_ZYGRC
OG0004265	Q05911	KMXK_0C00810	tr|A0A1G4M812|A0A1G4M812_LACFM	tr|C5DRF1|C5DRF1_ZYGRC
OG0004266	P08456	KMXK_0B02770	tr|A0A1G4MGK9|A0A1G4MGK9_LACFM	tr|C5DT71|C5DT71_ZYGRC
OG0004267	P32606	KMXK_0E04180	tr|A0A1G4M6H8|A0A1G4M6H8_LACFM	tr|C5E1T5|C5E1T5_ZYGRC
OG0004268	Q02772	KMXK_0A01140	tr|A0A1G4MFP1|A0A1G4MFP1_LACFM	tr|C5E465|C5E465_ZYGRC
OG0004269	P40454	KMXK_0C07270	tr|A0A1G4MEK2|A0A1G4MEK2_LACFM	tr|C5DSF6|C5DSF6_ZYGRC
OG0004270	Q06991	KMXK_0D05590	tr|A0A1G4MD86|A0A1G4MD86_LACFM	tr|C5DS22|C5DS22_ZYGRC
OG0004271	P40508	KMXK_0F00870	tr|A0A1G4M7P2|A0A1G4M7P2_LACFM	tr|C5DTJ5|C5DTJ5_ZYGRC
OG0004272	P38061	KMXK_0H01460	tr|A0A1G4M8G9|A0A1G4M8G9_LACFM	tr|C5DQZ0|C5DQZ0_ZYGRC
OG0004273	Q08647	KMXK_0B02170	tr|A0A1G4MHJ0|A0A1G4MHJ0_LACFM	tr|C5DXR7|C5DXR7_ZYGRC
OG0004274	P09368	KMXK_0E05170	tr|A0A1G4MJV8|A0A1G4MJV8_LACFM	tr|C5DYL4|C5DYL4_ZYGRC
OG0004275	P31115	KMXK_0H04470	tr|A0A1G4M860|A0A1G4M860_LACFM	tr|C5DXE3|C5DXE3_ZYGRC
OG0004276	Q02256	KMXK_0F04220	tr|A0A1G4MAG0|A0A1G4MAG0_LACFM	tr|C5DUR2|C5DUR2_ZYGRC
OG0004277	P41909	KMXK_0B02070	tr|A0A1G4MHJ7|A0A1G4MHJ7_LACFM	tr|C5DXQ8|C5DXQ8_ZYGRC
OG0004278	P36166	KMXK_0H03900	tr|A0A1G4MEG0|A0A1G4MEG0_LACFM	tr|C5E0P5|C5E0P5_ZYGRC
OG0004279		KMXK_0A00570	tr|A0A1G4ME45|A0A1G4ME45_LACFM, tr|A0A1G4MIQ7|A0A1G4MIQ7_LACFM	tr|C5DNV9|C5DNV9_ZYGRC
OG0004280		KMXK_0A05670, KMXK_0E03500	tr|A0A1G4M6K7|A0A1G4M6K7_LACFM	tr|C5DX87|C5DX87_ZYGRC
OG0004281		KMXK_0B03320, KMXK_0G04240	tr|A0A1G4M6E5|A0A1G4M6E5_LACFM, tr|A0A1G4MIN0|A0A1G4MIN0_LACFM	
OG0004282		KMXK_0B05510	tr|A0A1G4MF19|A0A1G4MF19_LACFM, tr|A0A1G4MIX8|A0A1G4MIX8_LACFM	tr|C5DUP0|C5DUP0_ZYGRC
OG0004283		KMXK_0E01290	tr|A0A1G4ME64|A0A1G4ME64_LACFM, tr|A0A1G4MK79|A0A1G4MK79_LACFM	tr|C5DQH6|C5DQH6_ZYGRC
OG0004284		KMXK_0F03030	tr|A0A1G4MCT2|A0A1G4MCT2_LACFM, tr|A0A1G4ML52|A0A1G4ML52_LACFM	tr|C5DYI2|C5DYI2_ZYGRC
OG0004285		KMXK_0F05760, KMXK_0G01910	tr|A0A1G4MIX1|A0A1G4MIX1_LACFM	tr|C5DZD5|C5DZD5_ZYGRC
OG0004286		KMXK_0H04340	tr|A0A1G4MCN2|A0A1G4MCN2_LACFM, tr|A0A1G4MHQ4|A0A1G4MHQ4_LACFM	tr|C5DUN8|C5DUN8_ZYGRC
OG0004287			tr|A0A1G4MAW5|A0A1G4MAW5_LACFM, tr|A0A1G4MCX4|A0A1G4MCX4_LACFM, tr|A0A1G4MIB4|A0A1G4MIB4_LACFM, tr|A0A1G4MKD7|A0A1G4MKD7_LACFM	
OG0004288			tr|A0A1G4M9X1|A0A1G4M9X1_LACFM	tr|C5DQF7|C5DQF7_ZYGRC, tr|C5DQP4|C5DQP4_ZYGRC, tr|C5E4C1|C5E4C1_ZYGRC
OG0004289	P21651	KMXK_0F04920	tr|A0A1G4M724|A0A1G4M724_LACFM	
OG0004290	P14291		tr|A0A1G4MCE6|A0A1G4MCE6_LACFM	tr|C5DTB0|C5DTB0_ZYGRC
OG0004291	Q12021		tr|A0A1G4MCQ1|A0A1G4MCQ1_LACFM	tr|C5DPG7|C5DPG7_ZYGRC
OG0004292	Q08003	KMXK_0H00390	tr|A0A1G4M7F4|A0A1G4M7F4_LACFM	
OG0004293	P04650	KMXK_0E02650	tr|A0A1G4MGY9|A0A1G4MGY9_LACFM	
OG0004294	Q12212	KMXK_0B05890	tr|A0A1G4MEK7|A0A1G4MEK7_LACFM	
OG0004295	P40511	KMXK_0C04740		tr|C5DTI8|C5DTI8_ZYGRC
OG0004296	Q3E752	KMXK_0H01180	tr|A0A1G4M8F4|A0A1G4M8F4_LACFM	
OG0004297	Q04921	KMXK_0B01320		tr|C5DQ85|C5DQ85_ZYGRC
OG0004298	P50104		tr|A0A1G4MKT2|A0A1G4MKT2_LACFM	tr|C5E4H9|C5E4H9_ZYGRC
OG0004299	P42933		tr|A0A1G4M958|A0A1G4M958_LACFM	tr|C5E4S0|C5E4S0_ZYGRC
OG0004300	P50088	KMXK_0F05310	tr|A0A1G4MAG3|A0A1G4MAG3_LACFM	
OG0004301	P33338	KMXK_0A07130		tr|C5DYU6|C5DYU6_ZYGRC
OG0004302	Q12507	KMXK_0B03310	tr|A0A1G4M6I8|A0A1G4M6I8_LACFM	
OG0004303	P33328		tr|A0A1G4MC77|A0A1G4MC77_LACFM	tr|C5DV62|C5DV62_ZYGRC
OG0004304	P33335		tr|A0A1G4MCE8|A0A1G4MCE8_LACFM, tr|A0A1G4MCN1|A0A1G4MCN1_LACFM	
OG0004305	P32578		tr|A0A1G4MG57|A0A1G4MG57_LACFM	tr|C5DW76|C5DW76_ZYGRC
OG0004306	P22214	KMXK_0D02110	tr|A0A1G4MA92|A0A1G4MA92_LACFM	
OG0004307	P32602		tr|A0A1G4MIT6|A0A1G4MIT6_LACFM	tr|C5E151|C5E151_ZYGRC
OG0004308	Q99314		tr|A0A1G4MHL1|A0A1G4MHL1_LACFM	tr|C5DXM9|C5DXM9_ZYGRC
OG0004309	P13574	KMXK_0F04620	tr|A0A1G4MC01|A0A1G4MC01_LACFM	
OG0004310	P38282		tr|A0A1G4M9X4|A0A1G4M9X4_LACFM	tr|C5DR71|C5DR71_ZYGRC
OG0004311	P25623		tr|A0A1G4MH30|A0A1G4MH30_LACFM	tr|C5DWS2|C5DWS2_ZYGRC
OG0004312	Q06563	KMXK_0D03170	tr|A0A1G4MFC9|A0A1G4MFC9_LACFM	
OG0004313	P53916	KMXK_0F03150		tr|C5DZQ1|C5DZQ1_ZYGRC
OG0004314	P40040		tr|A0A1G4M827|A0A1G4M827_LACFM	tr|C5DTF9|C5DTF9_ZYGRC
OG0004315	P34163		tr|A0A1G4MA46|A0A1G4MA46_LACFM	tr|C5E1E4|C5E1E4_ZYGRC
OG0004316	Q06032	KMXK_0D04920		tr|C5DRZ3|C5DRZ3_ZYGRC
OG0004317	P53244	KMXK_0E02790	tr|A0A1G4MDC6|A0A1G4MDC6_LACFM	
OG0004318	Q12287	KMXK_0C02260	tr|A0A1G4M6W6|A0A1G4M6W6_LACFM	
OG0004319	Q02770		tr|A0A1G4MI48|A0A1G4MI48_LACFM	tr|C5DY01|C5DY01_ZYGRC
OG0004320	P35206		tr|A0A1G4MCF9|A0A1G4MCF9_LACFM	tr|C5DPJ8|C5DPJ8_ZYGRC
OG0004321	Q04368		tr|A0A1G4ML69|A0A1G4ML69_LACFM	tr|C5E4I9|C5E4I9_ZYGRC
OG0004322	Q08054		tr|A0A1G4MCD0|A0A1G4MCD0_LACFM	tr|C5DTC8|C5DTC8_ZYGRC
OG0004323	P53830		tr|A0A1G4ML60|A0A1G4ML60_LACFM	tr|C5DRA9|C5DRA9_ZYGRC
OG0004324	Q3E7A9		tr|A0A1G4M974|A0A1G4M974_LACFM	sp|C5DT65|CMC4_ZYGRC
OG0004325	P38265		tr|A0A1G4MBZ5|A0A1G4MBZ5_LACFM	tr|C5DUF4|C5DUF4_ZYGRC
OG0004326	P32656	KMXK_0C03720		tr|C5DRV2|C5DRV2_ZYGRC
OG0004327	Q3E835	KMXK_0D02450	tr|A0A1G4MA49|A0A1G4MA49_LACFM	
OG0004328	P03874		tr|A0A1G4MB15|A0A1G4MB15_LACFM	tr|C5DZV7|C5DZV7_ZYGRC
OG0004329	Q02732		tr|A0A1G4M7Y7|A0A1G4M7Y7_LACFM	tr|C5DXB6|C5DXB6_ZYGRC
OG0004330	Q04549	KMXK_0B01890	tr|A0A1G4MKC1|A0A1G4MKC1_LACFM	
OG0004331	Q04601		tr|A0A1G4MKA8|A0A1G4MKA8_LACFM	tr|C5DSM6|C5DSM6_ZYGRC
OG0004332	Q12107		tr|A0A1G4MK66|A0A1G4MK66_LACFM	tr|C5DVG2|C5DVG2_ZYGRC
OG0004333	Q08702	KMXK_0C04630		tr|C5DYC4|C5DYC4_ZYGRC
OG0004334	Q01532		tr|A0A1G4MJ26|A0A1G4MJ26_LACFM	tr|C5DYT5|C5DYT5_ZYGRC
OG0004335	P53744	KMXK_0E06320	tr|A0A1G4M7B1|A0A1G4M7B1_LACFM	
OG0004336	P47134	KMXK_0H01110	tr|A0A1G4M8G6|A0A1G4M8G6_LACFM	
OG0004337	Q06150		tr|A0A1G4MCU9|A0A1G4MCU9_LACFM	tr|C5DTA4|C5DTA4_ZYGRC
OG0004338	Q08492	KMXK_0A04340		tr|C5E0P1|C5E0P1_ZYGRC
OG0004339	P36106		tr|A0A1G4MKP7|A0A1G4MKP7_LACFM	tr|C5DQL9|C5DQL9_ZYGRC
OG0004340	P07252		tr|A0A1G4MH76|A0A1G4MH76_LACFM	tr|C5DUN2|C5DUN2_ZYGRC
OG0004341	Q04066		tr|A0A1G4MGD3|A0A1G4MGD3_LACFM	tr|C5DW84|C5DW84_ZYGRC
OG0004342	P28742		tr|A0A1G4M7D5|A0A1G4M7D5_LACFM	tr|C5DQV2|C5DQV2_ZYGRC
OG0004343	P36035	KMXK_0F05020	tr|A0A1G4M767|A0A1G4M767_LACFM	
OG0004344	P38169		tr|A0A1G4M8D6|A0A1G4M8D6_LACFM	tr|C5DYH2|C5DYH2_ZYGRC
OG0004345	P38131		tr|A0A1G4MI57|A0A1G4MI57_LACFM	tr|C5DV53|C5DV53_ZYGRC
OG0004346	P26188	KMXK_0B06520		tr|C5DQA3|C5DQA3_ZYGRC
OG0004347	Q05979		tr|A0A1G4MJN1|A0A1G4MJN1_LACFM	tr|C5DT19|C5DT19_ZYGRC
OG0004348	Q92325		tr|A0A1G4MFM0|A0A1G4MFM0_LACFM	tr|C5E1S5|C5E1S5_ZYGRC
OG0004349	Q03937		tr|A0A1G4MCJ8|A0A1G4MCJ8_LACFM	tr|C5DPI8|C5DPI8_ZYGRC
OG0004350	P32769		tr|A0A1G4MEN2|A0A1G4MEN2_LACFM	tr|C5DNV2|C5DNV2_ZYGRC
OG0004351	P0CT04	KMXK_0G01160	tr|A0A1G4MDI8|A0A1G4MDI8_LACFM	
OG0004352	Q04638	KMXK_0E01680		tr|C5DS72|C5DS72_ZYGRC
OG0004353	P51979	KMXK_0F01630		tr|C5E4Y8|C5E4Y8_ZYGRC
OG0004354	P0CY11	KMXK_0C00240		tr|C5DUN7|C5DUN7_ZYGRC
OG0004355	P39996	KMXK_0A02800	tr|A0A1G4MFU4|A0A1G4MFU4_LACFM	
OG0004356	P38710		tr|A0A1G4M6Q3|A0A1G4M6Q3_LACFM	tr|C5E0X4|C5E0X4_ZYGRC
OG0004357	P11986	KMXK_0E04920		tr|C5E153|C5E153_ZYGRC
OG0004358	P38954	KMXK_0B00360		tr|C5E0Q3|C5E0Q3_ZYGRC
